IDJwb,IDPSJ,questions_clean,answerKeys_clean,answer_clean,raw_grade,max_grade,grade,labela,label
1,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']",50.0,50.0,10.0,A,5
2,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['karakter saling menolong', 'karakter yang mau saling bekerja sama', 'karakter yang peduli terhadap penderitaan orang lain', 'karakter yang mementingkan sikap rela berkorban']",30.0,50.0,6.0,C,3
3,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati adalah karakter yang penuh rasa damai dan cinta untuk mewujudkan kehidupan yang harmonis', 'olah pikir adalah proses pikiran dalam menyelesaikan masalah', 'olah karsa adalah suatu kepedulian terhadap sesama', 'olah raga adalah proses persepsi kesiapan manipulasi dan penciptaan aktivitas baru']",50.0,50.0,10.0,A,5
4,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['revolusi mental', 'yang berarti kita harus memiliki mental yang kuat untuk membangun negara kita']",20.0,50.0,4.0,D,2
5,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah raga adalah memiliki karakter yang kuat', 'olah rasa dan karsa adalah karakter yang memiliki perasaan dan simpati', 'olah hati adalah karakter yang memiliki hati yang lembut dan mau menerima saran orang lain', 'olah pikir adalah karakter yang memiliki pemikiran yang maju untuk menyelesaikan masalah']",50.0,50.0,10.0,A,5
6,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['karakter biru atau olah tubuh', 'membuat kerja sama menjadi lebih bersemangat biasanya olah tubuh atau karakter biru dimiliki oleh seorang atlet', 'karakter merah atau olah hati', 'membuat kerja sama menjadi lebih menyenangkan', 'karakter kuning atau olah rasa', 'membuat kerja sama semakin berhasil', 'karakter hijau atau olah pikir', 'membuat kerja sama menjadi lebih terencana']",50.0,50.0,10.0,A,5
7,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati', 'olah hati memiliki karakter yang lembut hati', 'olah raga', 'olah raga memiliki karakter yang sangat aktif dalam kerja sama atau gotong royong', 'olah pikir', 'olah pikir memiliki karakter yang bijaksana dan teliti', 'olah rasa', 'olah rasa memiliki karakter yang sangat berhati hati']",50.0,50.0,10.0,A,5
8,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati adalah perasaan untuk mau menollong sesama dan bekerja sama atau bergotong royong', 'olah rasa adalah mau merasakan kondisi yang sama saat bekerja sama contoh saat kita bekerja sama tapi gagal kita harus mau merasakan kegagalan', 'olah pikir adalah pikiran kita untuk memulai dan menjalani kerja sama', 'olah tindakan adalah tindakan yang kita lakukan saat bekerja sama atau bergotong royong']",50.0,50.0,10.0,A,5
9,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati karakter rasa damai dan cinta untuk menuju kehidupan yang harmonis', 'olah karsa kepedulian', 'olah raga penciptaan aktivitas baru', 'olah pikir penyelesaian persoalan']",50.0,50.0,10.0,A,5
10,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['karakter biru olah hati adalah karakter yang suka damai dan harmonis yang membuat kerja sama lebih mudah', 'karakter hijau olah pikir adalah karakter yang teliti dan akademis yang membuat kerja sama lebih terencana', 'karakter kuning olah raga adalah karater yang tangguh dan disiplin yang membuat kerja sama lebih berhasil', 'karakter merah olah rasa dan karsa adalah karakter yang kreatif dan komunikatif yang membuat kerja sama lebih kreatif dan menyenangkan']",50.0,50.0,10.0,A,5
