IDJwb,IDPSJ,grade,psj_idx,grade_num,is_synthetic,inverse_words
1,1,10,0,10,0,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi. Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita. Olah raga = Memiliki sifat dan mental yang kuat. Olah hati dan karsa = Kreatif dalam melakukan sesuatu.
2,1,6,0,6,0,KARAKTER SALING MENOLONG KARAKTER YANG MAU SALING BEKERJA SAMA KARAKTER YANG PEDULI TERHADAP PENDERITAAN ORANG LAIN KARAKTER YANG MEMENTINGKAN SIKAP RELA BERKORBAN
3,1,10,0,10,0,"1. olah hati adalah karakter yang penuh rasa damai dan cinta untuk mewujudkan kehidupan yang harmonis 2. olah pikir adalah proses pikiran dalam menyelesaikan masalah 3.olah karsa adalah suatu kepedulian terhadap sesama 4. olah raga adalah proses persepsi, kesiapan, manipulasi dan penciptaan aktivitas baru"
4,1,4,0,4,0,Revolusi mental yang berarti kita harus memiliki mental yang kuat untuk membangun negara kita
5,1,10,0,10,0,1. Olah raga : memiliki karakter yang kuat 2. Olah rasa dan karsa : karakter yang memiliki perasaan dan simpati 3. Olah hati : karakter yang memiliki hati yang lembut dan mau menerima saran orang lain 4. Olah pikir : karakter yang memiliki pemikiran yang maju untuk menyelesaikan masalah
6,1,10,0,10,0,"1. Karakter biru/ olah tubuh membuat kerja sama menjadi lebih bersemangat, biasanya olah tubuh/ karakter biru dimiliki oleh seorang atlet 2. Karakter merah/ olah hati membuat kerja sama menjadi lebih menyenangkan 3. Karakter kuning/ olah rasa membuat kerja sama semakin berhasil 4. Karakter hijau/ olah pikir membuat kerja sama menjadi lebih terencana"
7,1,10,0,10,0,olah hati olah hati memiliki karakter yang lembut hati olah raga olah raga memiliki karakter yang sangat aktif dalam kerja sama atau gotong royong olah pikir olah pikir memiliki karakter yang bijaksana dan teliti olah rasa olah rasa memiliki karakter yang sangat berhati-hati
8,1,10,0,10,0,olah hati adalah perasaan untuk mau menollong sesama dan bekerja sama/ bergotong royong. olah rasa adalah mau merasakan kondisi yang sama saat bekerja sama contoh saat kita bekerja sama tapi gagal kita harus mau merasakan kegagalan. olah pikir adalah pikiran kita untuk memulai dan menjalani kerja sama. olah tindakan adalah tindakan yang kita lakukan saat bekerja sama/bergotong royong.
9,1,10,0,10,0,1. Olah hati ( karakter rasa damai dan cinta untuk menuju kehidupan yang harmonis ) 2. Olah karsa ( kepedulian ) 3. Olah raga ( penciptaan aktivitas baru ) 4. Olah pikir ( penyelesaian persoalan )
10,1,10,0,10,0,1. Karakter Biru (Olah Hati) = Karakter yang suka damai dan harmonis yang membuat kerja sama lebih mudah 2. Karakter Hijau (Olah Pikir) = Karakter yang teliti dan akademis yang membuat kerja sama lebih terencana 3. Karakter kuning (Olah Raga) = Karater yang tangguh dan disiplin yang membuat kerja sama lebih berhasil 4. Karakter Merah (Olah Rasa dan Karsa) = Karakter yang kreatif dan komunikatif yang membuat kerja sama lebih kreatif dan menyenangkan
11,1,10,0,10,0,Olah Pikir (karakter ini artinya teliti dan akademis) Olah Hati (karakter ini artinya peduli dan emosional) Olah Raga (karakter ini artinya teguh dan disiplin) Olah Rasa dan Karsa (karakter ini artinya kreatif dan komunikatif)
12,1,9,0,9,0,1 Olah rasa bewarna hijau: memiliki rasa yang nyaman 2 Olah pikir berwarna biru: mempunyai pikir yang positif 3 Olah hati berwarna kuning: mempunyai hati yang tenang damai 4 Olah keras bewarna merah : memiliki akal pintar 66
13,1,4,0,4,0,OLAHAN PIKIRAN
14,1,10,0,10,0,karakter biru=rendah hati karakter merah = komunikatif karakter hijau= kreatif karakter kuning=pintar
15,1,10,0,10,0,tidak egois mau bersosialisasi dengan orang lain saling membantu tidak mensepelekan orang lain
16,1,8,0,8,0,OLAH RASA OLAH RAGA OLAH PIKIR OLAH HATI
17,1,5,0,5,0,karakter: 1.ketuhanan 2.bekerja sama 3.kuat
18,1,6,0,6,0,memiliki rasa saling tolong menolong memiliki rasa persatuan dan kesatuan memiliki rasa kepedulian memiliki rasa semboyan Bhinneka Tunggal Ika yang berarti berbada - beda tetapi 1 tujuan
19,1,10,0,10,0,1. Olah Hati adalah karakter yang cinta damai dan harmonis dalam suatu diskusi 2. Olah Raga adalah karakter yang disiplin dan sangat tepat dalam mengerjakan sesuatu 3. Olah Pikir adalah karakter yang mempertimbangkan terlebih dahulu akibat-akibatnya sebelum membuat keputusan 4. Olah Rasa/Krasa adalah karakter yang kreatif dan komunikatif dalam suatu hal
20,1,10,0,10,0,karakter merah: karakter merah adalah karakter yang pekerja keras karakter hijau: karakter hijau adalah karakter yang pintar dan cerdas karakter kuning: karakter kuning adalah karakter yang kreatif karakter biru: karakter biru adalah karakter yang baik hati
21,1,6,0,6,0,"1.Tidak memaksa kan kehendak adalah kita tidak boleh memaksakehendak diri sendiri. 2.Toleransi,kita harus toleransi terdapat sesama. 3.Tidak rasisme terhadap sesama 4.saling tolong menolong"
22,1,6,0,6,0,1. olah rasa 2. olah jiwa 3. olah emosi 4. olah batin
23,1,10,0,10,0,1. Olah pikir adalah ketelitian dalam melakukan suatu hal 2. Olah hati adalah rasa saling memahami antar sesama 3. Olah raga adalah semangat yang dimiliki 4. Olah rasa adalah ekspresi yang dimiliki seseorang
